path	owner	role	disposition
build/build-assets-cli.js	kit-proprietary	support	migrate
build/build-assets.js	kit-proprietary	support	migrate
core/packages/build/README.md	kit-proprietary	client-build	migrate
core/packages/build/build-all.js	kit-proprietary	client-build	migrate
core/packages/build/build-assets-cli.js	kit-proprietary	client-build	migrate
core/packages/build/build-assets.js	kit-proprietary	client-build	migrate
core/packages/build/cli-options.js	kit-proprietary	client-build	migrate
core/packages/build/esbuild-components-cli.js	kit-proprietary	client-build	migrate
core/packages/build/esbuild-components.js	kit-proprietary	client-build	migrate
core/packages/build/esbuild-dependencies-cli.js	kit-proprietary	client-build	migrate
core/packages/build/esbuild-dependencies.js	kit-proprietary	client-build	migrate
core/packages/build/esbuild-styles-cli.js	kit-proprietary	client-build	migrate
core/packages/build/esbuild-styles.js	kit-proprietary	client-build	migrate
core/packages/build/esbuild-vendor-cli.js	kit-proprietary	client-build	migrate
core/packages/build/esbuild-vendor.js	kit-proprietary	client-build	migrate
core/packages/build/getJsxOptions.js	kit-proprietary	client-build	migrate
core/packages/build/index.js	kit-proprietary	client-build	migrate
core/packages/build/package.json	kit-proprietary	client-build	migrate
core/packages/build/wpdev-check-cli.js	kit-proprietary	client-build	migrate
core/packages/dependency-extraction-esbuild-plugin/README.md	kit-proprietary	client-build	migrate
core/packages/dependency-extraction-esbuild-plugin/index.js	kit-proprietary	client-build	migrate
core/packages/dependency-extraction-esbuild-plugin/package.json	kit-proprietary	client-build	migrate
core/packages/dependency-extraction-esbuild-plugin/utils.js	kit-proprietary	client-build	migrate
core/packages/utils/check.js	kit-proprietary	client-build	migrate
core/packages/utils/getOrgName.js	kit-proprietary	client-build	migrate
core/packages/utils/index.js	kit-proprietary	client-build	migrate
core/packages/utils/package.json	kit-proprietary	client-build	migrate
core/packages/utils/path.js	kit-proprietary	client-build	migrate
core/packages/utils/readProjectConfig.js	kit-proprietary	client-build	migrate
dev/fix-autoloader.php	kit-proprietary	support	migrate
dev/rector-build.php	kit-proprietary	support	external-dependency
dev/rector-prefix.php	kit-proprietary	support	external-dependency
dev/rector-upgrade.php	kit-proprietary	support	external-dependency
dev/release/build-dist.php	kit-proprietary	support	migrate
dev/release/freshness.php	kit-proprietary	support	migrate
packages/cli/bin/wpdev.js	kit-proprietary	support	migrate
packages/cli/create-plugin/bin/create-wpdev-plugin.js	kit-proprietary	support	migrate
packages/cli/create-plugin/package.json	kit-proprietary	support	migrate
packages/cli/package.json	kit-proprietary	support	migrate
packages/cli/src/branding.js	kit-proprietary	support	migrate
packages/cli/src/commands/add.js	kit-proprietary	support	migrate
packages/cli/src/commands/create.js	kit-proprietary	support	migrate
packages/cli/src/commands/doctor.js	kit-proprietary	support	migrate
packages/cli/src/commands/info.js	kit-proprietary	support	migrate
packages/cli/src/commands/list.js	kit-proprietary	support	migrate
packages/cli/src/commands/remove.js	kit-proprietary	support	migrate
packages/cli/src/commands/set.js	kit-proprietary	support	migrate
packages/cli/src/commands/update.js	kit-proprietary	support	migrate
packages/cli/src/flags.js	kit-proprietary	support	migrate
packages/cli/src/format-validation.js	kit-proprietary	support	migrate
packages/cli/src/gather.js	kit-proprietary	support	migrate
packages/cli/src/main.js	kit-proprietary	support	migrate
packages/cli/src/php-source-versions.js	kit-proprietary	support	migrate
packages/cli/src/prompts.js	kit-proprietary	support	migrate
packages/cli/src/resolveTargetDir.js	kit-proprietary	support	migrate
packages/cli/src/runners.js	kit-proprietary	support	migrate
packages/cli/src/slug.js	kit-proprietary	support	migrate
packages/cli/src/ui.js	kit-proprietary	support	migrate
packages/cli/src/version.js	kit-proprietary	support	migrate
packages/create-wp-project/src/add-feature-cli.js	kit-proprietary	support	migrate
packages/create-wp-project/src/addFeature.js	kit-proprietary	support	migrate
packages/create-wp-project/src/composer-dump.js	kit-proprietary	support	migrate
packages/create-wp-project/src/composer-patches.js	kit-proprietary	support	migrate
packages/create-wp-project/src/config-set.js	kit-proprietary	support	migrate
packages/create-wp-project/src/dep-versions.js	kit-proprietary	support	migrate
packages/create-wp-project/src/derive-ui-framework.js	kit-proprietary	support	migrate
packages/create-wp-project/src/doctor-cli.js	kit-proprietary	support	migrate
packages/create-wp-project/src/doctor.js	kit-proprietary	support	migrate
packages/create-wp-project/src/features.js	kit-proprietary	support	migrate
packages/create-wp-project/src/generators/_framework-template.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/_mcp-template.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/_php-fault-tolerance-template.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/_plugin-core-test-template.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/_polaris-template.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/_templateVars.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/_templates.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/_wpdev-js-packages-template.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/ci.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/core.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/css.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/e2eTest.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/exampleFeature.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/faultTolerance.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/frontendStack.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/husky.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/i18n.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/index.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/js/flow.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/js/pure.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/js/typescript.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/jsLib.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/jsTest.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/license.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/mcpAbilities.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/phpFramework.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/phpTest.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/phpUnitDocker.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/restBatch.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/.gitignore	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/README.md	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/docker-compose.yml	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/env.example	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/run-phpunit.sh	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/teardown.sh	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/wp-tests-config.php.template	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/e2e/.wp-env.json	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/e2e/playwright.config.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/e2e/tests/e2e/config/global-setup.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/e2e/tests/e2e/specs/admin-smoke.spec.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/e2e/tests/e2e/specs/frontend-smoke.spec.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/vendorScoping.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/index.js	kit-proprietary	support	migrate
